analysis,model_or_variant,analysis_tier,metric,cost_scenario,slice_type,slice_value,portfolio_count,unique_dates,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
allocation,fixed_view_uncertainty,parent_primary,net_mean_log_return,base,regime,normal,6,54,-2.5420817358952965e-05,-8.0912101607883932e-05,2.9494530798560449e-05,0.36931534232883556,0.94999999999999996,2000,2000,21,12,1,estimable,,,0.72291513817559294
allocation,fixed_view_uncertainty,parent_primary,net_information_ratio,base,regime,normal,6,54,-0.057241497089017379,-0.12143372226645228,0.0042348982557279119,0.13443278360819591,0.94999999999999996,2000,2000,21,12,1,estimable,,,0.65093768905021177
allocation,fixed_view_uncertainty,parent_primary,net_mean_log_return,base,regime,stress,8,55,3.6186278524046175e-05,3.6280317686241386e-06,6.6816455112903708e-05,0.023988005997001498,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.25747126436781609
allocation,fixed_view_uncertainty,parent_primary,net_information_ratio,base,regime,stress,8,55,0.027044850727589775,-0.0052687832811359756,0.054404129591456733,0.087456271864067972,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.50287356321839083
allocation,fixed_smart_policy,parent_primary,net_mean_log_return,base,overall,overall,10,55,-9.9242579977381045e-06,-3.718398050133291e-05,1.9277418320115464e-05,0.52573713143428291,0.94999999999999996,2000,2000,21,30,1,estimable,,1,
allocation,fixed_smart_policy,parent_primary,net_information_ratio,base,overall,overall,10,55,-0.01377898718396986,-0.041220082229067492,0.012731581376475202,0.36281859070464767,0.94999999999999996,2000,2000,21,30,1,estimable,,1,
allocation,fixed_smart_policy,parent_primary,net_mean_log_return,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_smart_policy,parent_primary,net_information_ratio,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_smart_policy,parent_primary,net_mean_log_return,base,market,hk,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_smart_policy,parent_primary,net_information_ratio,base,market,hk,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
