variant_id,analysis_tier,cost_scenario,slice_type,slice_value,portfolio_count,row_count,net_mean_log_return,net_information_ratio,gross_mean_log_return,gross_information_ratio
risk_inputs_neutralized,smart_decomposition,base,period,early,10,258,0.0005804524890350752,-0.6928712350398798,0.00059274039109706166,-0.68042281693131335
risk_inputs_neutralized,smart_decomposition,base,period,late,10,272,0.0014308394485396715,2.1452252212966232,0.0014358095180694167,2.1495431998155126
risk_inputs_neutralized,smart_decomposition,base,regime,calm,2,14,-0.001797979563956285,5.0175851336717434,-0.001797979563956285,5.0175851336717434
risk_inputs_neutralized,smart_decomposition,base,regime,normal,6,184,0.00026623555862033551,-1.9143522500521086,0.00027582351353335421,-1.902901754430544
risk_inputs_neutralized,smart_decomposition,base,regime,stress,8,332,0.0015515947086839946,1.849647957891881,0.0015599017988649822,1.856788771769144
risk_inputs_neutralized,smart_decomposition,high,overall,overall,10,530,0.0010076324937719841,0.80853375293834961,0.0010254098298451383,0.82566715840645888
risk_inputs_neutralized,smart_decomposition,high,market,us,2,104,0.00045615622667422723,0.28960236730882821,0.00047603614599189944,0.31795032323673561
risk_inputs_neutralized,smart_decomposition,high,market,hk,2,104,-0.00078214152116126516,-1.5027605139454476,-0.00076945806064937397,-1.477839047478976
risk_inputs_neutralized,smart_decomposition,high,market,cn,2,108,0.0007960195951542395,1.4638577738635616,0.0008159199421797573,1.4795044699818751
risk_inputs_neutralized,smart_decomposition,high,market,jp,2,108,0.00091270715835636395,0.030378153558549732,0.00092827424345379432,0.041366922481423582
risk_inputs_neutralized,smart_decomposition,high,market,tw,2,106,0.0036170302164779101,2.8387407916039757,0.0036378312914516707,2.8581843076180196
risk_inputs_neutralized,smart_decomposition,high,period,early,10,258,0.00056713819426212583,-0.70635228714068765,0.00059274039109706166,-0.68042281693131335
risk_inputs_neutralized,smart_decomposition,high,period,late,10,272,0.0014254542925717767,2.1405385434910662,0.0014358095180694167,2.1495431998155126
risk_inputs_neutralized,smart_decomposition,high,regime,calm,2,14,-0.001797979563956285,5.0175851336717434,-0.001797979563956285,5.0175851336717434
risk_inputs_neutralized,smart_decomposition,high,regime,normal,6,184,0.00025584664612094148,-1.9267370578451988,0.00027582351353335421,-1.902901754430544
risk_inputs_neutralized,smart_decomposition,high,regime,stress,8,332,0.0015425938334586943,1.841900991960792,0.0015599017988649822,1.856788771769144
regime_input_neutralized,smart_decomposition,low,overall,overall,10,530,0.0010368122630896926,0.83926001509455317,0.0010402347350190215,0.8425748817288442
regime_input_neutralized,smart_decomposition,low,market,us,2,104,0.00050109891021904776,0.36188380330909481,0.00050496498710728935,0.36752688367260289
regime_input_neutralized,smart_decomposition,low,market,hk,2,104,-0.00072628851007054327,-1.4050554815113543,-0.00072365880033426952,-1.3997864647252165
regime_input_neutralized,smart_decomposition,low,market,cn,2,108,0.00080818205274522232,1.4729312099365175,0.00081208874827838346,1.4760007958202068
regime_input_neutralized,smart_decomposition,low,market,jp,2,108,0.00095578234997266746,0.061202835021385842,0.00095882824315784694,0.063367380103728541
regime_input_neutralized,smart_decomposition,low,market,tw,2,106,0.00360775530498642,2.7936491077498755,0.0036114106703827786,2.7971283214066922
regime_input_neutralized,smart_decomposition,low,period,early,10,258,0.00062083717919264873,-0.65309824125709171,0.00062587775238093766,-0.64797918998584136
regime_input_neutralized,smart_decomposition,low,period,late,10,272,0.0014313768647273293,2.1538229312280333,0.0014332645200213216,2.1555040986923748
regime_input_neutralized,smart_decomposition,low,regime,calm,2,14,-0.001592908007454353,5.5148689886386029,-0.001592908007454353,5.5148689886386029
regime_input_neutralized,smart_decomposition,low,regime,normal,6,184,0.00027359766397581968,-1.9239066062096049,0.00027760477386605764,-1.9190788617885894
regime_input_neutralized,smart_decomposition,low,regime,stress,8,332,0.0015706904860552627,1.8681803984032852,0.0015739332628707462,1.8709878290452691
regime_input_neutralized,smart_decomposition,base,overall,overall,10,530,0.0010320204087218331,0.83461751276171992,0.0010402347350190215,0.8425748817288442
regime_input_neutralized,smart_decomposition,base,market,us,2,104,0.00049568589429751109,0.35398162127000438,0.00050496498710728935,0.36752688367260289
regime_input_neutralized,smart_decomposition,base,market,hk,2,104,-0.00072997032306227456,-1.4124241347323854,-0.00072365880033426952,-1.3997864647252165
regime_input_neutralized,smart_decomposition,base,market,cn,2,108,0.00080271219737039479,1.4686317231208794,0.00081208874827838346,1.4760007958202068
regime_input_neutralized,smart_decomposition,base,market,jp,2,108,0.00095151778921952906,0.05817216389550451,0.00095882824315784694,0.063367380103728541
regime_input_neutralized,smart_decomposition,base,market,tw,2,106,0.0036026373458716535,2.7887717932365139,0.0036114106703827786,2.7971283214066922
regime_input_neutralized,smart_decomposition,base,period,early,10,258,0.00061377978111053547,-0.66026391584066957,0.00062587775238093766,-0.64797918998584136
regime_input_neutralized,smart_decomposition,base,period,late,10,272,0.0014287339452060783,2.1514673964001023,0.0014332645200213216,2.1555040986923748
regime_input_neutralized,smart_decomposition,base,regime,calm,2,14,-0.001592908007454353,5.5148689886386029,-0.001592908007454353,5.5148689886386029
regime_input_neutralized,smart_decomposition,base,regime,normal,6,184,0.00026798721658922975,-1.9306602945209868,0.00027760477386605764,-1.9190788617885894
regime_input_neutralized,smart_decomposition,base,regime,stress,8,332,0.0015661502435979345,1.8642474818364396,0.0015739332628707462,1.8709878290452691
regime_input_neutralized,smart_decomposition,high,overall,overall,10,530,0.0010231200318188938,0.82599056463861775,0.0010402347350190215,0.8425748817288442
regime_input_neutralized,smart_decomposition,high,market,us,2,104,0.00048563157676998126,0.33930071209800244,0.00050496498710728935,0.36752688367260289
regime_input_neutralized,smart_decomposition,high,market,hk,2,104,-0.00073680865485402499,-1.4260838450841773,-0.00072365880033426952,-1.3997864647252165
regime_input_neutralized,smart_decomposition,high,market,cn,2,108,0.00079255240339687783,1.4606406167916848,0.00081208874827838346,1.4760007958202068
regime_input_neutralized,smart_decomposition,high,market,jp,2,108,0.00094359693004206614,0.052542841032563306,0.00095882824315784694,0.063367380103728541
regime_input_neutralized,smart_decomposition,high,market,tw,2,106,0.0035931311789938521,2.7796941391232646,0.0036114106703827786,2.7971283214066922
regime_input_neutralized,smart_decomposition,high,period,early,10,258,0.0006006713406367265,-0.67356832936470967,0.00062587775238093766,-0.64797918998584136
