analysis_type,analysis_id,cost_scenario,portfolio_count,row_count,gross_mean_log_return,net_mean_log_return,gross_information_ratio,net_information_ratio,gross_cumulative_return,net_cumulative_return,benchmark_cumulative_return,gross_benchmark_excess_return,net_benchmark_excess_return,gross_annualized_return,net_annualized_return,annualized_volatility,max_drawdown,expected_shortfall,gross_sharpe,net_sharpe,mean_l1_turnover,mean_one_way_turnover,realized_cost
component,fixed_turnover_penalty,high,10,530,0.0010278726796186879,0.0010101916850741638,0.83052292247227621,0.81339746596473672,0.72421611342124392,0.70813407937315609,0.096014479123883278,0.62820163429736064,0.61211960024927281,0.29566479062293594,0.28990465480569316,0.21837834840980158,-0.20009489109876355,-0.027057562636860592,1.1866806365840501,1.1657213569587717,0.24984737450552824,0.12492368725276412,0.0093692765439573108
component,fixed_turnover_penalty,low,10,530,0.0010278726796186879,0.0010243369790185434,0.83052292247227621,0.82709995713519979,0.72421611342124392,0.7209880935615689,0.096014479123883278,0.62820163429736064,0.62497361443768562,0.29566479062293594,0.29451087190806913,0.21829593181640933,-0.19877372721024478,-0.027037447546621504,1.1866806365840501,1.1824907434819594,0.24984737450552824,0.12492368725276412,0.001873855308791462
component,fixed_view_uncertainty,base,10,530,0.0010599267623462901,0.0010522546206499712,0.86215906457670921,0.85472698269389935,0.75375847345475422,0.74664175811938471,0.096014479123883278,0.65774399433087094,0.65062727899550143,0.30617307378070757,0.30365018490236473,0.21413991624008355,-0.19013561174107785,-0.026239806486850665,1.247551111596201,1.2382939577995293,0.22588493920133537,0.11294246960066769,0.0040659289056240357
component,fixed_view_uncertainty,high,10,530,0.0010599267623462901,0.0010439418296289416,0.86215906457670921,0.84666985520658977,0.75375847345475422,0.73896336718779354,0.096014479123883278,0.65774399433087094,0.64294888806391026,0.30617307378070757,0.30092212646921701,0.2141838769123999,-0.19104085121415237,-0.026251411197873813,1.247551111596201,1.2282593109195092,0.22588493920133537,0.11294246960066769,0.008470685220050074
component,fixed_view_uncertainty,low,10,530,0.0010599267623462901,0.0010567301770647061,0.86215906457670921,0.85906298423370353,0.75375847345475422,0.7507897885057464,0.096014479123883278,0.65774399433087094,0.65477530938186312,0.30617307378070757,0.30512132345783249,0.21411687280399422,-0.18964780393753866,-0.02623572230407533,1.247551111596201,1.2436946286997068,0.22588493920133537,0.11294246960066769,0.0016941370440100151
component,fixed_weight_bounds,base,10,530,0.0010431873268664353,0.0010348402223880164,0.84613676916062963,0.83804368850648692,0.73826811829521533,0.7305950655042448,0.096014479123883278,0.64225363917133205,0.63458058638036152,0.30067479954944321,0.29794174415966279,0.21731143162266772,-0.19507262934470959,-0.026827142071130836,1.2099464360454453,1.2000276934100242,0.24575581348842546,0.12287790674421273,0.0044236046427916587
component,fixed_weight_bounds,high,10,530,0.0010431873268664353,0.0010257959893661863,0.84613676916062963,0.82926964234785383,0.73826811829521533,0.72231940613235524,0.096014479123883278,0.64225363917133205,0.62630492700847196,0.30067479954944321,0.29498691301469493,0.21735966916992669,-0.19600257911968144,-0.026834297250077993,1.2099464360454453,1.1892757764467763,0.24575581348842546,0.12287790674421273,0.0092158430058159532
component,fixed_weight_bounds,low,10,530,0.0010431873268664353,0.0010397095321045889,0.84613676916062963,0.84276536448892647,0.73826811829521533,0.73506703929496209,0.096014479123883278,0.64225363917133205,0.63905256017107881,0.30067479954944321,0.2995353819564075,0.21728618628220547,-0.19457149311788668,-0.026823289601578509,1.2099464360454453,1.2058143528280671,0.24575581348842546,0.12287790674421273,0.0018431686011631907
component,full_stack,base,10,530,0.0010408331845521493,0.0010326549651555525,0.84294948330535824,0.83502978603527056,0.73610064157044564,0.7285918742093771,0.096014479123883278,0.64008616244656236,0.63257739508549382,0.29990341103996476,0.29722718410730553,0.21739309633530945,-0.19678759900196818,-0.026867381199258626,1.206769653052683,1.1970437682060484,0.2407835671933525,0.12039178359667625,0.0043341042094803437
component,full_stack,high,10,530,0.0010408331845521493,0.0010237937278605445,0.84294948330535824,0.82644373312023989,0.73610064157044564,0.72049265263883155,0.096014479123883278,0.64008616244656236,0.62447817351494828,0.29990341103996476,0.29433366641638692,0.21744271157888517,-0.19771989490601127,-0.026876847919576251,1.206769653052683,1.186501113546222,0.2407835671933525,0.12039178359667625,0.0090293837697507182
component,full_stack,low,10,530,0.0010408331845521493,0.0010374257546027119,0.84294948330535824,0.83965030398328977,0.73610064157044564,0.73296818103605466,0.096014479123883278,0.64008616244656236,0.63695370191217138,0.29990341103996476,0.29878769901088442,0.21736709178608354,-0.19628519691908386,-0.026863643904410234,1.206769653052683,1.202717890788936,0.2407835671933525,0.12039178359667625,0.0018058767539501433
component,guard_disabled,base,10,530,0.001031966216101093,0.0010233853011595198,0.83558141463054358,0.82728267615240425,0.72796098937451492,0.72012026452172195,0.096014479123883278,0.63194651025063164,0.62410578539783867,0.29700205071837082,0.29420045588354493,0.21741303367877363,-0.20702726462599585,-0.0269762991132396,1.1964422122728255,1.1861896756071875,0.25263922892070939,0.1263196144603547,0.0045475061205727686
component,guard_disabled,high,10,530,0.001031966216101093,0.0010140876965059368,0.83558141463054358,0.81828500929059977,0.72796098937451492,0.71166482566015588,0.096014479123883278,0.63194651025063164,0.6156503465362726,0.29700205071837082,0.29117169847922897,0.21747514988264799,-0.2079724579503498,-0.026989083080225535,1.1964422122728255,1.1750772428822041,0.25263922892070939,0.1263196144603547,0.0094739710845266004
