analysis,model_or_variant,metric,slice_type,slice_value,planned_repeats,successful_repeats,unique_dates,positive_events,portfolio_count,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
warning,logistic_regression,brier_score,market,hk,1,1,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,recall_at_frozen_threshold,market,hk,1,1,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,average_precision,market,cn,1,1,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,brier_score,market,cn,1,1,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,recall_at_frozen_threshold,market,cn,1,1,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,average_precision,market,jp,1,1,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,brier_score,market,jp,1,1,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,recall_at_frozen_threshold,market,jp,1,1,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,average_precision,market,tw,1,1,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,brier_score,market,tw,1,1,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,recall_at_frozen_threshold,market,tw,1,1,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,average_precision,period,early,1,1,27,32,10,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 40 unique dates,,
warning,logistic_regression,brier_score,period,early,1,1,27,32,10,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 40 unique dates,,
warning,logistic_regression,recall_at_frozen_threshold,period,early,1,1,27,32,10,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 40 unique dates,,
warning,logistic_regression,average_precision,period,late,1,1,27,18,10,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 40 unique dates,,
warning,logistic_regression,brier_score,period,late,1,1,27,18,10,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 40 unique dates,,
warning,logistic_regression,recall_at_frozen_threshold,period,late,1,1,27,18,10,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 40 unique dates,,
warning,logistic_regression,average_precision,regime,calm,1,1,7,2,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 40 unique dates,,
warning,logistic_regression,brier_score,regime,calm,1,1,7,2,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 40 unique dates,,
warning,logistic_regression,recall_at_frozen_threshold,regime,calm,1,1,7,2,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 40 unique dates,,
warning,logistic_regression,average_precision,regime,normal,1,1,53,21,6,0.0030756107400864985,-0.010069263069424218,0.030114553623240541,1,0.94999999999999996,2000,2000,20,3,1,estimable,,,1
warning,logistic_regression,brier_score,regime,normal,1,1,53,21,6,0.00054974722959770517,-0.0007463069793045916,0.0020713959855295219,0.52023988005997002,0.94999999999999996,2000,2000,20,3,1,estimable,,,0.81751981152281006
warning,logistic_regression,recall_at_frozen_threshold,regime,normal,1,1,53,21,6,0,0,0,1,0.94999999999999996,2000,2000,20,3,1,estimable,,,1
warning,logistic_regression,average_precision,regime,stress,1,1,54,27,8,-0.054946408808158459,-0.097148939221834735,-0.017674209595875866,0.27186406796601698,0.94999999999999996,2000,2000,20,3,1,estimable,,,0.7476261869065467
warning,logistic_regression,brier_score,regime,stress,1,1,54,27,8,0.0030274255491007651,0.0010247936759746684,0.0051340728388093951,0.27186406796601698,0.94999999999999996,2000,2000,20,3,1,estimable,,,0.7476261869065467
warning,logistic_regression,recall_at_frozen_threshold,regime,stress,1,1,54,27,8,-0.14814814814814814,-0.29999999999999999,0,0.52023988005997002,0.94999999999999996,2000,2000,20,3,1,estimable,,,0.81751981152281006
warning,random_forest,average_precision,overall,overall,5,5,54,50,10,-0.0094669845036853689,-0.017510356983104547,0.0032723323614950277,0.32583708145927037,0.94999999999999996,2000,2000,20,15,5,estimable,,1,
warning,random_forest,brier_score,overall,overall,5,5,54,50,10,0.00030182031940795273,2.5509519650423785e-05,0.00064935273056799961,0.17541229385307347,0.94999999999999996,2000,2000,20,15,5,estimable,,1,
warning,random_forest,recall_at_frozen_threshold,overall,overall,5,5,54,50,10,0.023999999999999994,-0.026406291071585028,0.078818616805268651,0.32683658170914542,0.94999999999999996,2000,2000,20,15,5,estimable,,1,
warning,random_forest,average_precision,market,us,5,5,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,brier_score,market,us,5,5,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,recall_at_frozen_threshold,market,us,5,5,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,average_precision,market,hk,5,5,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,brier_score,market,hk,5,5,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,recall_at_frozen_threshold,market,hk,5,5,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,average_precision,market,cn,5,5,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,brier_score,market,cn,5,5,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,recall_at_frozen_threshold,market,cn,5,5,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,average_precision,market,jp,5,5,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,brier_score,market,jp,5,5,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,recall_at_frozen_threshold,market,jp,5,5,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,average_precision,market,tw,5,5,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,brier_score,market,tw,5,5,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,recall_at_frozen_threshold,market,tw,5,5,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,random_forest,average_precision,period,early,5,5,27,32,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,random_forest,brier_score,period,early,5,5,27,32,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,random_forest,recall_at_frozen_threshold,period,early,5,5,27,32,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,random_forest,average_precision,period,late,5,5,27,18,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,random_forest,brier_score,period,late,5,5,27,18,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,random_forest,recall_at_frozen_threshold,period,late,5,5,27,18,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,random_forest,average_precision,regime,calm,5,5,7,2,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
