row_count,positive_event_count,positive_rate,roc_auc,average_precision,brier_score,log_loss,expected_calibration_error,precision_at_cost_threshold,recall_at_cost_threshold,flag_rate_at_cost_threshold,precision_at_legacy_0_60,recall_at_legacy_0_60,flag_rate_at_legacy_0_60,top_decile_lift,model,repeat_id,seed,slice_type,slice_value
522,50,0.095785440613026823,0.54466101694915248,0.11167591606319829,0.087876225479918468,0.32886942217772808,0.037042130828538827,0.13793103448275862,0.16,0.1111111111111111,0,0,0,1.5758490566037735,random_forest,4,20260806,overall,overall
522,50,0.095785440613026823,0.5165254237288136,0.10836805879724079,0.08818149146851556,0.33246654038817858,0.037880726953077461,0.13157894736842105,0.10000000000000001,0.072796934865900387,0,0,0,1.3788679245283018,random_forest,5,20260807,overall,overall
102,11,0.10784313725490197,0.38711288711288716,0.089848864585706692,0.10103749926825664,0.38662741520779143,0.059924285166857653,0,0,0,0,0,0,0.84297520661157022,random_forest,1,20260803,market,us
102,11,0.10784313725490197,0.41808191808191808,0.10579336309582642,0.10184910688144533,0.39697090472659552,0.066453970000582951,0,0,0.019607843137254902,0,0,0,0,random_forest,2,20260804,market,us
102,11,0.10784313725490197,0.38311688311688302,0.093785115360492499,0.10152472637469555,0.40095008627694201,0.06217625153893002,0,0,0.0098039215686274508,0,0,0,0.84297520661157022,random_forest,3,20260805,market,us
102,11,0.10784313725490197,0.37812187812187809,0.091787134844562676,0.10151737425173184,0.3947903882930302,0.063734945996701625,0,0,0.019607843137254902,0,0,0,0.84297520661157022,random_forest,4,20260806,market,us
102,11,0.10784313725490197,0.34865134865134861,0.092195138271711913,0.10206636901597374,0.40056390535500502,0.062426433783597947,0,0,0.0098039215686274508,0,0,0,0,random_forest,5,20260807,market,us
102,7,0.068627450980392163,0.56390977443609025,0.09497645211930926,0.063746434289908241,0.2489368638513203,0.017012071510372592,0,0,0.019607843137254902,0,0,0,2.6493506493506493,random_forest,1,20260803,market,hk
102,7,0.068627450980392163,0.54887218045112784,0.08033669396121812,0.064470970953268522,0.25384055468631916,0.027354046446284912,0,0,0.058823529411764705,0,0,0,1.3246753246753247,random_forest,2,20260804,market,hk
102,7,0.068627450980392163,0.58496240601503757,0.10299754964597646,0.063856191490966496,0.2503493554201412,0.015386180660029492,0,0,0.019607843137254902,0,0,0,2.6493506493506493,random_forest,3,20260805,market,hk
102,7,0.068627450980392163,0.53157894736842115,0.077412783295136248,0.064204869432430076,0.25298382894230126,0.015102236494369033,0.083333333333333329,0.14285714285714285,0.11764705882352941,0,0,0,1.3246753246753247,random_forest,4,20260806,market,hk
102,7,0.068627450980392163,0.51353383458646606,0.088897263215160588,0.064275601789447037,0.25541688150488384,0.024278130097160837,0,0,0.058823529411764705,0,0,0,1.3246753246753247,random_forest,5,20260807,market,hk
106,13,0.12264150943396226,0.555831265508685,0.14533557458716795,0.11170784508184403,0.40433223930188006,0.074117604777674428,0,0,0.037735849056603772,0,0,0,1.4825174825174825,random_forest,1,20260803,market,cn
106,13,0.12264150943396226,0.5748552522746071,0.15369648272874079,0.11118029514624986,0.39970158302049269,0.06480502957124927,0.14285714285714285,0.076923076923076927,0.066037735849056603,0,0,0,1.4825174825174825,random_forest,2,20260804,market,cn
106,13,0.12264150943396226,0.59263854425144746,0.1582805180072584,0.11102523251748506,0.39871206862921155,0.073434892527713388,0,0,0.04716981132075472,0,0,0,1.4825174825174825,random_forest,3,20260805,market,cn
106,13,0.12264150943396226,0.56327543424317628,0.13936108936108935,0.11127389435683294,0.39935083335068583,0.063261655441871317,0.14285714285714285,0.076923076923076927,0.066037735849056603,0,0,0,0.74125874125874125,random_forest,4,20260806,market,cn
106,13,0.12264150943396226,0.49503722084367247,0.12918631809756126,0.112229961573205,0.40800750868915181,0.077091822201329555,0,0,0.056603773584905662,0,0,0,0.74125874125874125,random_forest,5,20260807,market,cn
106,3,0.028301886792452831,0.27184466019417475,0.024523552678892488,0.029364051782372481,0.14606436913425383,0.026452336835188522,0,0,0,0,0,0,0,random_forest,1,20260803,market,jp
106,3,0.028301886792452831,0.27346278317152101,0.023749625636418088,0.029315183094506418,0.14571126265371004,0.02630914159129491,0,0,0,0,0,0,0,random_forest,2,20260804,market,jp
106,3,0.028301886792452831,0.32200647249190933,0.027369281045751634,0.029073311474050775,0.14344870365664791,0.025159344672812542,0,0,0,0,0,0,0,random_forest,3,20260805,market,jp
106,3,0.028301886792452831,0.33171521035598706,0.025666501076337143,0.029179519296805286,0.14381835418496014,0.02527907210283625,0,0,0.009433962264150943,0,0,0,0,random_forest,4,20260806,market,jp
106,3,0.028301886792452831,0.22977346278317148,0.026567656765676566,0.029207953497358944,0.14589326624000123,0.025268427952571761,0,0,0,0,0,0,0,random_forest,5,20260807,market,jp
106,16,0.15094339622641509,0.58819444444444446,0.1793775816362212,0.13349229957337266,0.45745684545295917,0.080683819480938793,0.16666666666666666,0.125,0.11320754716981132,0,0,0,1.2045454545454546,random_forest,1,20260803,market,tw
